"01","Inner London",2372907,2306596,1101846,1204750,66311,31477,34834
"02","Outer London",4122256,4072611,1970341,2102270,49645,17807,31838
"03","Greater Manchester",2547045,2524288,1226017,1298271,22757,9045,13712
"04","Merseyside",1481857,1464020,702603,761417,17837,6987,10850
"05","South Yorkshire",1282161,1272150,623177,648973,10011,4104,5907
"06","Tyne & Wear",1120100,1110717,536020,574697,9383,3821,5562
"07","West Midlands",2605113,2581108,1270609,1310499,24005,10605,13400
"08","West Yorkshire",1999043,1977641,960368,1017273,21402,8976,12426
"09","Avon",891560,877640,425240,452400,13920,6106,7814
"10","Bedfordshire",497639,492629,245645,246984,5010,2568,2442
"11","Berkshire",662689,652551,323187,329364,10138,5580,4558
"12","Buckinghamshire",553225,545125,268766,276359,8100,4413,3687
"13","Cambridgeshire",563773,554905,273092,281813,8868,5429,3439
"14","Cheshire",911980,901327,441103,460224,10653,4589,6064
"15","Cleveland",558820,555232,271871,283361,3588,1526,2062
"16","Cornwall & Isles of Scilly",412835,402840,192567,210273,9995,5411,4584
"17","Cumbria",467355,459923,223843,236080,7432,3178,4254
"18","Derbyshire",895149,886879,437045,449834,8270,3190,5080
"19","Devon",919483,892345,424453,467892,27138,13950,13188
"20","Dorset",570321,555724,262256,293468,14597,6713,7884
"21","Durham",594788,588648,287600,301048,6140,2841,3299
"22","East Sussex",633613,615262,283878,331384,18351,6622,11729
"23","Essex",1446621,1429031,697532,731499,17590,7135,10455
"24","Gloucestershire",487806,481201,234133,247068,6605,2864,3741
"25","Hampshire",1423915,1390941,677846,713095,32974,21378,11596
"26","Hereford and Worcester",617671,608895,298555,310340,8776,3996,4780
"27","Hertfordshire",936123,921433,454165,467268,14690,6092,8598
"28","Humberside",835643,827704,404095,423609,7939,3483,4456
"29","Isle of Wight",113008,109407,51388,58019,3601,1817,1784
"30","Kent",1428921,1403671,678507,725164,25250,11874,13376
"31","Lancashire",1348440,1322566,635765,686801,25874,11800,14074
"32","Leicestershire",827407,818215,402443,415772,9192,4271,4921
"33","Lincolnshire",538269,527493,258473,269020,10776,6663,4113
"34","Norfolk",676688,666225,323876,342349,10463,4996,5467
"35","Northamptonshire",519046,513181,251752,261429,5865,2866,2999
"36","Northumberland",291175,285103,138586,146517,6072,3230,2842
"37","North Yorkshire",643475,627224,302398,324826,16251,8998,7253
"38","Nottinghamshire",967734,957953,470195,487758,9781,4792,4989
"39","Oxford",500554,489652,241475,248177,10902,5768,5134
"40","Shropshire",365355,360045,176536,183509,5310,2960,2350
"41","Somerset",413048,405801,196770,209031,7247,3492,3755
"42","Staffordshire",999539,989159,488753,500406,10380,4929,5451
"43","Suffolk",583594,573440,280390,293050,10154,5883,4271
"44","Surrey",974479,949673,460258,489415,24806,10671,14135
"45","Warwickshire",466045,460148,227264,232884,5897,2525,3372
"46","West Sussex",641071,627771,295260,332511,13300,4948,8352
"47","Wiltshire",504984,495530,242534,252996,9454,5391,4063
