01,Inner London,950428,707431,436371,26069,27957,75524,9694,131816,3927,242997,56261,45040,126065,15631
02,Outer London,1588606,1208467,826706,37794,58526,148172,9957,127312,7692,380139,73308,51526,242132,13173
03,Greater Manchester,935330,674455,464539,18892,30444,60771,9039,90770,4001,260875,38480,63902,151026,7467
04,Merseyside,514554,353672,225946,9745,13740,25545,9631,69065,1899,160882,23045,44140,88818,4879
05,South Yorkshire,486260,338430,227956,8810,13142,25839,8933,53750,1725,147830,18053,35268,90532,3977
06,Tyne and Wear,412841,284286,192622,7394,9805,15927,8488,50050,1606,128555,16184,36533,72523,3315
07,West Midlands,962916,704326,490210,18197,25608,53373,12151,104787,3602,258590,38581,50688,161044,8277
08,West Yorkshire,754239,551376,389038,16090,25621,47156,8499,64972,3359,202863,30862,40321,125823,5857
09,Avon,360114,267185,188132,9446,13231,28200,2777,25399,2146,92929,14303,12813,63286,2527
10,Bedfordshire,200729,158648,114687,4478,7112,16756,1221,14394,1234,42081,7842,5966,27100,1173
11,Berkshire,285162,228400,168786,7200,10137,25184,1362,15731,2004,56762,12511,6377,36288,1586
12,Buckinghamshire,241285,192343,138357,5996,10628,22358,1193,13811,1737,48942,11022,5227,31224,1469
13,Cambridgeshire,249291,191681,137497,6668,9892,20823,1698,15103,1658,57610,10952,7246,37742,1670
14,Cheshire,365606,269194,196387,7750,14569,22281,3421,24786,2016,96412,15326,19500,59449,2137
15,Cleveland,203393,144207,98354,4039,4735,7205,4869,25005,782,59186,7650,17426,32369,1741
16,Cornwall and Isles Of Scilly,179181,123263,68808,4290,10553,22928,2561,14123,713,55918,7165,8719,38694,1340
17,Cumbria,187911,137941,97336,3836,9171,14728,1995,10875,636,49970,5823,8757,34479,911
18,Derbyshire,362045,264929,190531,7382,12612,24448,3758,26198,1465,97116,11692,16464,66475,2485
19,Devon,387908,269584,165674,9797,19771,42701,4888,26753,1861,118324,15607,15937,83613,3167
20,Dorset,250423,172001,109805,6541,11702,26038,1536,16379,1340,78422,8742,8516,59146,2018
21,Durham,227014,155927,110217,3545,6542,9970,4836,20817,682,71087,7381,21494,40130,2082
22,East Sussex,261924,179975,110250,8004,12048,29369,1655,18649,1696,81949,10027,10009,59740,2173
23,Essex,587306,444638,307390,13149,24457,56779,3068,39795,3179,142668,19734,19160,100362,3412
24,Gloucestershire,203971,151822,107145,5024,8988,17531,1307,11827,998,52149,7883,6216,36808,1242
25,Hampshire,596564,457349,329340,15221,20917,49248,4255,38368,4198,139215,22288,17114,96012,3801
26,Hereford and Worcester,261184,196408,134890,6104,13282,24720,2014,15398,1324,64776,9889,8811,44372,1704
27,Hertfordshire,378317,294077,211267,10020,15344,33839,1775,21832,2461,84240,15424,10158,56677,1981
28,Humberside,325926,237438,163347,6883,12143,20079,4567,30419,1413,88488,13150,15933,56949,2456
29,Isle Of Wight,47794,31127,18771,1254,2175,4733,411,3783,227,16667,1688,2038,11832,1109
30,Kent,575608,431740,297991,13687,22440,53503,3578,40541,3143,143868,20631,19162,99837,4238
31,Lancashire,521488,370119,253696,12391,21844,40069,5240,36879,2578,151369,19628,34404,92870,4467
32,Leicestershire,331318,249615,179215,7788,13488,24638,2430,22056,1785,81703,14327,11780,53214,2382
33,Lincolnshire,228416,164054,110107,5150,11147,20066,2409,15175,980,64362,7743,10469,44556,1594
34,Norfolk,292657,210081,141377,7285,12610,27426,2605,18778,1417,82576,9452,10997,59976,2151
35,Northamptonshire,219847,171084,123906,5144,8651,18445,1328,13610,1310,48763,7616,6603,33278,1266
36,Northumberland,117365,81782,56821,2223,5172,6960,2023,8583,423,35583,4797,7833,22082,871
37,North Yorkshire,272906,199442,137178,7007,15524,25034,2238,12461,1649,73464,11073,10335,50457,1599
38,Nottinghamshire,383688,276405,194326,8275,12540,23326,4294,33644,1765,107283,14430,20108,69786,2959
39,Oxfordshire,213920,165867,119077,6379,8914,18583,1445,11469,1598,48053,11003,5212,30681,1157
40,Shropshire,156555,117123,79900,3349,8048,14571,1784,9471,644,39432,5810,6680,25723,1219
41,Somerset,177620,128469,83678,4426,9518,18925,1445,10477,907,49151,6208,5922,35967,1054
42,Staffordshire,399972,300006,217355,7688,15204,27978,4791,26990,1844,99966,13642,20290,63391,2643
43,Suffolk,247036,184308,131292,6247,9900,21185,2262,13422,1342,62728,7529,7332,46017,1850
44,Surrey,397528,304086,216709,11462,19021,37648,1665,17581,3157,93442,17536,9073,64625,2208
45,Warwickshire,188984,142612,103564,4533,8076,13892,1584,10963,1151,46372,7536,7056,30845,935
46,West Sussex,267226,192855,132894,7865,11246,25788,1312,13750,1930,74371,9604,7243,55750,1774
47,Wiltshire,219517,170239,123932,5324,8910,18894,1493,11686,1380,49278,7361,5943,34794,1180
