17,Buckinghamshire,31832,18799,12140,32552,13496,10946,25974,27607,103397,106421,31242,44690,28249,7287,3925,
18,Cambridgeshire,36828,20516,13179,34810,14939,17105,44194,41721,130927,121138,38216,53140,33216,9046,4827,
19,Cumbria,25248,15051,9706,27449,12376,11425,25674,26289,91309,108375,38022,55410,34201,8745,4533,
20,Derbyshire,41545,24628,15821,44957,19880,17450,40958,41007,151061,164883,54770,77789,46475,12276,6351,
21,Devon,37479,22022,14310,40518,17586,18977,42929,36415,126570,154693,57629,86420,56246,16645,9115,
22,Dorset,19333,11864,7979,23023,10393,8619,19450,17091,66924,85770,33204,51990,36092,10435,5628,
23,East Sussex,27456,16415,10649,30390,13285,11904,26479,25818,90763,107981,39522,58766,41131,12349,7517,
24,Essex,81796,47295,30296,83001,35911,32392,79047,78007,275860,282575,94496,133323,86926,22971,12213,
25,Gloucestershire,33438,19059,12481,34479,15474,14363,34958,33994,116039,124311,39739,58210,36976,10671,5498,
26,Hampshire,77307,44818,28446,78870,33756,29301,71399,71087,259061,275328,88079,126964,82172,22233,12003,
27,Hertfordshire,74066,40712,25644,68824,29307,25476,65239,69805,241763,224554,62479,87590,61248,16520,8557,
28,Kent,89076,51228,32919,91396,39259,37792,87679,83297,282886,290483,96484,137517,87948,23683,13158,
29,Lancashire,68591,38980,24585,67883,29186,33352,78594,68819,221875,235357,78580,113367,70377,18380,9069,
30,Leicestershire,36154,21369,13677,38100,16703,18515,40925,35050,126581,135543,44354,61791,38436,10182,5028,
31,Lincolnshire,37351,21222,13864,40470,17408,17545,41556,38933,128490,147211,52781,80273,48767,12467,6344,
32,Norfolk,46531,25317,16340,46376,20122,20071,51984,49508,154289,168410,63288,96126,63291,17068,8746,
33,Northamptonshire,46012,25279,15915,42030,17733,16132,39694,43619,146623,139840,44404,58129,33935,9252,4720,
34,North Yorkshire,31040,18505,12344,34410,15019,13634,31394,29923,106914,129966,44622,65334,41076,10891,5898,
35,Nottinghamshire,45259,25459,16288,45750,19981,18307,44562,44051,155113,165910,53109,77221,47073,12268,5885,
36,Oxfordshire,41056,22181,13850,37335,15721,18937,47593,46830,135280,125441,38014,54422,34637,9523,5160,
37,Somerset,28717,16708,10779,31309,14368,11863,28035,26508,92738,110903,39307,57463,37588,10853,5756,
38,Staffordshire,46089,27401,17444,48881,21510,21022,50940,47000,164651,177221,59225,87789,50278,12496,6291,
39,Suffolk,42226,24241,15255,42304,18354,15678,40513,42682,136963,144426,51606,75241,49070,13374,7354,
40,Surrey,71306,40532,25309,67566,28145,25753,61519,62154,240551,231932,69379,97839,66584,19135,10908,
41,Warwickshire,31364,17751,11429,31267,13514,12383,32734,32277,108918,111861,36117,53826,32288,8663,4494,
42,West Sussex,46486,26373,16806,45733,19181,17229,41088,44020,156491,163008,54345,81862,58142,16931,9640,
43,Worcestershire,31106,18312,11701,32513,14287,13152,30918,30883,108662,117825,40688,58621,35581,9760,5125,
44,Greater Manchester,181245,98201,60322,160304,67601,74759,203899,200933,560081,500860,150623,211280,129230,32995,16244,
45,Merseyside,78604,43473,27809,78404,34812,40293,104988,92550,260119,280184,85042,123675,84734,19809,9639,
46,South Yorkshire,82892,46104,28512,76642,33135,42543,104311,88912,264124,259519,79041,118660,74707,18909,9415,
47,Tyne and Wear,63683,34652,22030,59877,26053,34190,88180,75264,214372,223121,67436,94749,64988,15709,7459,
48,West Midlands,192528,107282,66732,174834,73170,82532,210315,198782,555126,484316,138600,215833,144371,36924,18413,
49,West Yorkshire,149793,82390,51325,133949,55632,64029,167366,159007,458343,417385,127348,174913,112676,28744,14421,
50,Inner London,225908,110881,66358,160150,61718,75690,291156,421780,904622,493863,110445,151216,91997,22678,11688,
51,Outer London,365587,190214,115356,296715,124908,115744,338816,411186,1166332,896019,232145,321842,216664,57896,30768,
